"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2025-03-02","","2.91227273"
"FACATATIVA - URBANO","2025-03-01","","2.94708333"
"FACATATIVA - URBANO","2025-02-28","","2.33347826"
"FACATATIVA - URBANO","2025-02-27","","5.16222222"
"FACATATIVA - URBANO","2025-02-26","","2.325"
"FACATATIVA - URBANO","2025-02-25","","2.03782609"
"FACATATIVA - URBANO","2025-02-24","","1.99904762"
"FACATATIVA - URBANO","2025-02-23","","2.57909091"
"FACATATIVA - URBANO","2025-02-22","","1.16454545"
"FACATATIVA - URBANO","2025-02-21","","1.93166667"
"FACATATIVA - URBANO","2025-02-20","","2.65875"
"FACATATIVA - URBANO","2025-02-19","","3.37095238"
"FACATATIVA - URBANO","2025-02-18","","2.76954545"
"FACATATIVA - URBANO","2025-02-17","","2.78291667"
"FACATATIVA - URBANO","2025-02-16","","3.06625"
"FACATATIVA - URBANO","2025-02-15","","3.32590909"
"FACATATIVA - URBANO","2025-02-14","","2.76217391"
"FACATATIVA - URBANO","2025-02-13","","1.365"
"FACATATIVA - URBANO","2025-02-12","","3.23208333"
"FACATATIVA - URBANO","2025-02-11","","0.83043478"
"FACATATIVA - URBANO","2025-02-10","","3.5605"
"FACATATIVA - URBANO","2025-02-09","","7.6075"
"FACATATIVA - URBANO","2025-02-08","","2.57434783"
"FACATATIVA - URBANO","2025-02-07","","2.9535"
"FACATATIVA - URBANO","2025-02-06","","2.44458333"
"FACATATIVA - URBANO","2025-02-05","","2.24181818"
"FACATATIVA - URBANO","2025-02-04","","2.39619048"
"FACATATIVA - URBANO","2025-02-03","","3.22208333"
"FACATATIVA - URBANO","2025-02-02","","2.47375"
"FACATATIVA - URBANO","2025-02-01","","3.63913043"
"FACATATIVA - URBANO","2025-01-31","","2.72125"
"FACATATIVA - URBANO","2025-01-30","","8.48181818"
"FACATATIVA - URBANO","2025-01-29","","3.717"
"FACATATIVA - URBANO","2025-01-28","","2.75956522"
"FACATATIVA - URBANO","2025-01-27","","2.22809524"
"FACATATIVA - URBANO","2025-01-26","","1.88913043"
"FACATATIVA - URBANO","2025-01-25","","1.92958333"
"FACATATIVA - URBANO","2025-01-24","","1.29043478"
"FACATATIVA - URBANO","2025-01-23","","3.88272727"
"FACATATIVA - URBANO","2025-01-22","","3.54130435"
"FACATATIVA - URBANO","2025-01-21","","1.623125"
"FACATATIVA - URBANO","2025-01-20","","3.65375"
"FACATATIVA - URBANO","2025-01-19","","3.5675"
"FACATATIVA - URBANO","2025-01-18","","3.02173913"
"FACATATIVA - URBANO","2025-01-17","","3.15363636"
"FACATATIVA - URBANO","2025-01-16","","3.68136364"
"FACATATIVA - URBANO","2025-01-15","","3.63916667"
"FACATATIVA - URBANO","2025-01-14","","3.64625"
"FACATATIVA - URBANO","2025-01-13","","3.6295"
"FACATATIVA - URBANO","2025-01-12","","4.25166667"
"FACATATIVA - URBANO","2025-01-11","","4.62208333"
"FACATATIVA - URBANO","2025-01-10","","5.40958333"
"FACATATIVA - URBANO","2025-01-09","","3.28458333"
"FACATATIVA - URBANO","2025-01-08","","4.1925"
"FACATATIVA - URBANO","2025-01-07","","1.24666667"
"FACATATIVA - URBANO","2025-01-06","","2.57333333"
"FACATATIVA - URBANO","2025-01-05","","2.9225"
"FACATATIVA - URBANO","2025-01-04","","5.21083333"
"FACATATIVA - URBANO","2025-01-03","","3.2325"
