"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2024-09-28","","42.79958333"
"FACATATIVA - URBANO","2024-09-27","","46.1775"
"FACATATIVA - URBANO","2024-09-26","","42.37625"
"FACATATIVA - URBANO","2024-09-25","","40.985"
"FACATATIVA - URBANO","2024-09-24","","42.36041667"
"FACATATIVA - URBANO","2024-09-23","","45.78434783"
"FACATATIVA - URBANO","2024-09-22","","48.71208333"
"FACATATIVA - URBANO","2024-09-21","","57.85958333"
"FACATATIVA - URBANO","2024-09-20","","55.53083333"
"FACATATIVA - URBANO","2024-09-19","","60.27708333"
"FACATATIVA - URBANO","2024-09-18","","59.52666667"
"FACATATIVA - URBANO","2024-09-17","","56.16958333"
"FACATATIVA - URBANO","2024-09-16","","40.03777778"
"FACATATIVA - URBANO","2024-08-19","","26.656"
"FACATATIVA - URBANO","2024-08-18","","30.39833333"
"FACATATIVA - URBANO","2024-08-17","","34.26541667"
"FACATATIVA - URBANO","2024-08-16","","31.23875"
"FACATATIVA - URBANO","2024-08-15","","29.21375"
"FACATATIVA - URBANO","2024-08-14","","33.4475"
"FACATATIVA - URBANO","2024-08-13","","30.95041667"
"FACATATIVA - URBANO","2024-08-12","","32.31416667"
"FACATATIVA - URBANO","2024-08-11","","29.42958333"
"FACATATIVA - URBANO","2024-08-10","","33.78375"
"FACATATIVA - URBANO","2024-08-09","","36.24916667"
"FACATATIVA - URBANO","2024-08-08","","37.67"
"FACATATIVA - URBANO","2024-08-07","","35.52291667"
"FACATATIVA - URBANO","2024-08-06","","33.7475"
"FACATATIVA - URBANO","2024-08-05","","37.04208333"
"FACATATIVA - URBANO","2024-08-04","","32.78916667"
"FACATATIVA - URBANO","2024-08-03","","30.75625"
"FACATATIVA - URBANO","2024-08-02","","36.515"
"FACATATIVA - URBANO","2024-08-01","","36.195"
"FACATATIVA - URBANO","2024-07-31","","35.75416667"
"FACATATIVA - URBANO","2024-07-30","","32.73791667"
"FACATATIVA - URBANO","2024-07-29","","26.17333333"
"FACATATIVA - URBANO","2024-07-28","","28.03791667"
"FACATATIVA - URBANO","2024-07-27","","34.40083333"
"FACATATIVA - URBANO","2024-07-26","","34.31875"
"FACATATIVA - URBANO","2024-07-25","","36.19416667"
"FACATATIVA - URBANO","2024-07-24","","35.47916667"
"FACATATIVA - URBANO","2024-07-23","","31.74416667"
"FACATATIVA - URBANO","2024-07-22","","28.385"
"FACATATIVA - URBANO","2024-07-21","","31.11458333"
"FACATATIVA - URBANO","2024-07-20","","33.13541667"
"FACATATIVA - URBANO","2024-07-19","","33.95041667"
"FACATATIVA - URBANO","2024-07-18","","32.27708333"
"FACATATIVA - URBANO","2024-07-17","","28.46041667"
"FACATATIVA - URBANO","2024-07-16","","31.14833333"
"FACATATIVA - URBANO","2024-07-15","","33.14458333"
"FACATATIVA - URBANO","2024-07-14","","31.58875"
"FACATATIVA - URBANO","2024-07-13","","34.17041667"
"FACATATIVA - URBANO","2024-07-12","","34.69833333"
"FACATATIVA - URBANO","2024-07-11","","29.66958333"
"FACATATIVA - URBANO","2024-07-10","","28.70291667"
"FACATATIVA - URBANO","2024-07-09","","30.76916667"
"FACATATIVA - URBANO","2024-07-08","","28.82708333"
"FACATATIVA - URBANO","2024-07-07","","30.93333333"
"FACATATIVA - URBANO","2024-07-06","","33.11791667"
"FACATATIVA - URBANO","2024-07-05","","33.10375"
"FACATATIVA - URBANO","2024-07-04","","38.05333333"
"FACATATIVA - URBANO","2024-07-03","","35.05833333"
"FACATATIVA - URBANO","2024-07-02","","34.47041667"
"FACATATIVA - URBANO","2024-07-01","","32.4975"
"FACATATIVA - URBANO","2024-06-30","","33.015"
"FACATATIVA - URBANO","2024-06-29","","36.44916667"
"FACATATIVA - URBANO","2024-06-28","","34.83666667"
"FACATATIVA - URBANO","2024-06-27","","34.26458333"
"FACATATIVA - URBANO","2024-06-26","","33.48791667"
"FACATATIVA - URBANO","2024-06-25","","32.175"
"FACATATIVA - URBANO","2024-06-24","","30.75541667"
"FACATATIVA - URBANO","2024-06-23","","29.03541667"
"FACATATIVA - URBANO","2024-06-22","","34.40708333"
"FACATATIVA - URBANO","2024-06-21","","35.27666667"
"FACATATIVA - URBANO","2024-06-20","","36.46625"
"FACATATIVA - URBANO","2024-06-19","","37.16291667"
"FACATATIVA - URBANO","2024-06-18","","36.44416667"
"FACATATIVA - URBANO","2024-06-17","","33.65083333"
"FACATATIVA - URBANO","2024-06-16","","31.15125"
"FACATATIVA - URBANO","2024-06-15","","33.55083333"
"FACATATIVA - URBANO","2024-06-14","","35.55958333"
"FACATATIVA - URBANO","2024-06-13","","32.07842105"
"FACATATIVA - URBANO","2024-06-12","","32.74434783"
"FACATATIVA - URBANO","2024-06-11","","32.258"
