"Estacion","Fecha inicial","Fecha final","CO"
"FACATATIVA - URBANO","2024-12-21","","1216.50541667"
"FACATATIVA - URBANO","2024-12-20","","1181.54541667"
"FACATATIVA - URBANO","2024-12-19","","736.01125"
"FACATATIVA - URBANO","2024-12-18","","627.80956522"
"FACATATIVA - URBANO","2024-12-17","","448.24"
"FACATATIVA - URBANO","2024-12-16","","443.65875"
"FACATATIVA - URBANO","2024-12-15","","511.23041667"
"FACATATIVA - URBANO","2024-12-14","","650.65416667"
"FACATATIVA - URBANO","2024-12-13","","1129.52"
"FACATATIVA - URBANO","2024-12-12","","1117.36291667"
"FACATATIVA - URBANO","2024-12-11","","1068.9525"
"FACATATIVA - URBANO","2024-12-10","","672.22416667"
"FACATATIVA - URBANO","2024-12-09","","465.30458333"
"FACATATIVA - URBANO","2024-12-08","","299.980625"
"FACATATIVA - URBANO","2024-12-07","","1011.85291667"
"FACATATIVA - URBANO","2024-12-06","","885.61541667"
"FACATATIVA - URBANO","2024-12-05","","832.8925"
"FACATATIVA - URBANO","2024-12-04","","1000.4475"
"FACATATIVA - URBANO","2024-12-03","","650.135"
"FACATATIVA - URBANO","2024-12-02","","1205.14958333"
"FACATATIVA - URBANO","2024-12-01","","1395.73791667"
"FACATATIVA - URBANO","2024-11-30","","1318.41416667"
"FACATATIVA - URBANO","2024-11-29","","1149.57409091"
"FACATATIVA - URBANO","2024-11-28","","858.75"
"FACATATIVA - URBANO","2024-11-27","","978.45454545"
"FACATATIVA - URBANO","2024-11-26","","987.5625"
"FACATATIVA - URBANO","2024-11-25","","761.67391304"
"FACATATIVA - URBANO","2024-11-24","","621.57142857"
"FACATATIVA - URBANO","2024-11-23","","432.55555556"
"FACATATIVA - URBANO","2024-11-22","","616.11904762"
"FACATATIVA - URBANO","2024-11-21","","530.86363636"
"FACATATIVA - URBANO","2024-11-20","","441.64285714"
"FACATATIVA - URBANO","2024-11-19","","427.46666667"
"FACATATIVA - URBANO","2024-11-18","","666.18181818"
"FACATATIVA - URBANO","2024-11-17","","978.45454545"
"FACATATIVA - URBANO","2024-11-16","","753.28947368"
"FACATATIVA - URBANO","2024-11-15","","873.81578947"
"FACATATIVA - URBANO","2024-11-14","","615.4375"
"FACATATIVA - URBANO","2024-11-13","","476.07894737"
"FACATATIVA - URBANO","2024-11-12","","862.23478261"
"FACATATIVA - URBANO","2024-11-11","","1051.49166667"
"FACATATIVA - URBANO","2024-11-10","","889.28333333"
"FACATATIVA - URBANO","2024-11-09","","988.03958333"
"FACATATIVA - URBANO","2024-11-08","","999.48958333"
"FACATATIVA - URBANO","2024-11-07","","975.15833333"
"FACATATIVA - URBANO","2024-11-06","","953.2125"
"FACATATIVA - URBANO","2024-11-05","","1030.5"
"FACATATIVA - URBANO","2024-11-04","","592.5375"
"FACATATIVA - URBANO","2024-11-03","","593.96875"
"FACATATIVA - URBANO","2024-11-02","","743.29583333"
"FACATATIVA - URBANO","2024-11-01","","880.69583333"
"FACATATIVA - URBANO","2024-10-31","","587.76666667"
"FACATATIVA - URBANO","2024-10-30","","618.77708333"
"FACATATIVA - URBANO","2024-10-29","","1371.91818182"
"FACATATIVA - URBANO","2024-10-28","","1646.89166667"
"FACATATIVA - URBANO","2024-10-27","","1389.26666667"
"FACATATIVA - URBANO","2024-10-26","","1517.125"
"FACATATIVA - URBANO","2024-10-25","","1592.98125"
"FACATATIVA - URBANO","2024-10-24","","1349.19166667"
"FACATATIVA - URBANO","2024-10-23","","1300.05208333"
"FACATATIVA - URBANO","2024-10-22","","1330.10833333"
"FACATATIVA - URBANO","2024-10-21","","1186.98333333"
"FACATATIVA - URBANO","2024-10-20","","1165.0375"
"FACATATIVA - URBANO","2024-10-19","","1406.44166667"
"FACATATIVA - URBANO","2024-10-18","","1332.01666667"
"FACATATIVA - URBANO","2024-10-17","","1190.32291667"
"FACATATIVA - URBANO","2024-10-16","","1010.93958333"
"FACATATIVA - URBANO","2024-10-15","","1082.50208333"
"FACATATIVA - URBANO","2024-10-14","","964.18541667"
"FACATATIVA - URBANO","2024-10-13","","634.04375"
"FACATATIVA - URBANO","2024-10-12","","1041.95"
"FACATATIVA - URBANO","2024-10-11","","999.0125"
"FACATATIVA - URBANO","2024-10-10","","593.01458333"
"FACATATIVA - URBANO","2024-10-09","","425.08125"
"FACATATIVA - URBANO","2024-10-08","","1794.00681818"
"FACATATIVA - URBANO","2024-10-07","","2390.1875"
"FACATATIVA - URBANO","2024-10-06","","2102.02916667"
"FACATATIVA - URBANO","2024-10-05","","2060.04583333"
"FACATATIVA - URBANO","2024-10-04","","2211.75833333"
"FACATATIVA - URBANO","2024-10-03","","2307.65208333"
"FACATATIVA - URBANO","2024-10-02","","2205.07916667"
"FACATATIVA - URBANO","2024-10-01","","2417.85833333"
"FACATATIVA - URBANO","2024-09-30","","2290.95416667"
"FACATATIVA - URBANO","2024-09-29","","1774.25217391"
"FACATATIVA - URBANO","2024-09-28","","1929.80208333"
"FACATATIVA - URBANO","2024-09-27","","2038.57708333"
"FACATATIVA - URBANO","2024-09-26","","1975.60208333"
"FACATATIVA - URBANO","2024-09-25","","2002.31875"
"FACATATIVA - URBANO","2024-09-24","","1945.54583333"
"FACATATIVA - URBANO","2024-09-23","","1751.85"
"FACATATIVA - URBANO","2024-09-22","","1745.17083333"
"FACATATIVA - URBANO","2024-09-21","","1784.76875"
"FACATATIVA - URBANO","2024-09-20","","1693.16875"
"FACATATIVA - URBANO","2024-09-19","","1560.53958333"
"FACATATIVA - URBANO","2024-09-18","","1415.98333333"
"FACATATIVA - URBANO","2024-09-17","","1230.875"
"FACATATIVA - URBANO","2024-09-16","","1430.75217391"
"FACATATIVA - URBANO","2024-09-15","","1284.30833333"
"FACATATIVA - URBANO","2024-09-14","","1370.18333333"
