"Estacion","Fecha inicial","Fecha final","PM2.5"
"FACATATIVA - URBANO","2025-01-18","","18.55565217"
"FACATATIVA - URBANO","2025-01-17","","16.74545455"
"FACATATIVA - URBANO","2025-01-16","","14.50454545"
"FACATATIVA - URBANO","2025-01-15","","16.01541667"
"FACATATIVA - URBANO","2025-01-14","","17.3125"
"FACATATIVA - URBANO","2025-01-13","","15.93166667"
"FACATATIVA - URBANO","2025-01-12","","16.22583333"
"FACATATIVA - URBANO","2025-01-11","","20.65375"
"FACATATIVA - URBANO","2025-01-10","","15.18041667"
"FACATATIVA - URBANO","2025-01-09","","8.87166667"
"FACATATIVA - URBANO","2025-01-08","","10.69458333"
"FACATATIVA - URBANO","2025-01-07","","8.37333333"
"FACATATIVA - URBANO","2025-01-06","","7.81333333"
"FACATATIVA - URBANO","2025-01-05","","8.52708333"
"FACATATIVA - URBANO","2025-01-04","","9.045"
"FACATATIVA - URBANO","2025-01-03","","7.71708333"
"FACATATIVA - URBANO","2025-01-02","","13.52083333"
"FACATATIVA - URBANO","2025-01-01","","21.00095238"
"FACATATIVA - URBANO","2024-12-31","","17.73454545"
"FACATATIVA - URBANO","2024-12-30","","6.18083333"
"FACATATIVA - URBANO","2024-12-29","","6.77458333"
"FACATATIVA - URBANO","2024-12-28","","10.05375"
"FACATATIVA - URBANO","2024-12-27","","9.35541667"
"FACATATIVA - URBANO","2024-12-26","","12.67333333"
"FACATATIVA - URBANO","2024-12-25","","12.9825"
"FACATATIVA - URBANO","2024-12-24","","14.06083333"
"FACATATIVA - URBANO","2024-12-23","","10.04416667"
"FACATATIVA - URBANO","2024-12-22","","12.66958333"
"FACATATIVA - URBANO","2024-12-21","","19.35791667"
"FACATATIVA - URBANO","2024-12-20","","19.59291667"
"FACATATIVA - URBANO","2024-12-19","","11.79166667"
"FACATATIVA - URBANO","2024-12-18","","10.79166667"
"FACATATIVA - URBANO","2024-12-17","","15.43333333"
"FACATATIVA - URBANO","2024-12-16","","21.89791667"
"FACATATIVA - URBANO","2024-12-15","","21.18666667"
"FACATATIVA - URBANO","2024-12-14","","18.54416667"
"FACATATIVA - URBANO","2024-12-13","","20.63291667"
"FACATATIVA - URBANO","2024-12-12","","20.5425"
"FACATATIVA - URBANO","2024-12-11","","18.72958333"
"FACATATIVA - URBANO","2024-12-10","","14.02791667"
"FACATATIVA - URBANO","2024-12-09","","14.4975"
"FACATATIVA - URBANO","2024-12-08","","16.00894737"
"FACATATIVA - URBANO","2024-12-07","","11.32708333"
"FACATATIVA - URBANO","2024-12-06","","11.11208333"
"FACATATIVA - URBANO","2024-12-05","","17.57708333"
"FACATATIVA - URBANO","2024-12-04","","18.71666667"
"FACATATIVA - URBANO","2024-12-03","","12.8175"
"FACATATIVA - URBANO","2024-12-02","","12.94458333"
"FACATATIVA - URBANO","2024-12-01","","11.27333333"
"FACATATIVA - URBANO","2024-11-30","","14.24208333"
"FACATATIVA - URBANO","2024-11-29","","11.85666667"
"FACATATIVA - URBANO","2024-11-28","","12.51708333"
"FACATATIVA - URBANO","2024-11-27","","17.83"
"FACATATIVA - URBANO","2024-11-26","","19.47583333"
"FACATATIVA - URBANO","2024-11-25","","15.22583333"
"FACATATIVA - URBANO","2024-11-24","","9.1675"
"FACATATIVA - URBANO","2024-11-23","","7.95375"
"FACATATIVA - URBANO","2024-11-22","","10.55666667"
"FACATATIVA - URBANO","2024-11-21","","10.85833333"
"FACATATIVA - URBANO","2024-11-20","","9.99"
"FACATATIVA - URBANO","2024-11-19","","8.46291667"
"FACATATIVA - URBANO","2024-11-18","","9.57173913"
"FACATATIVA - URBANO","2024-11-17","","7.86416667"
"FACATATIVA - URBANO","2024-11-16","","5.89291667"
"FACATATIVA - URBANO","2024-11-15","","7.64041667"
"FACATATIVA - URBANO","2024-11-14","","5.82541667"
"FACATATIVA - URBANO","2024-11-13","","3.62708333"
"FACATATIVA - URBANO","2024-11-12","","4.43083333"
"FACATATIVA - URBANO","2024-11-11","","7.175"
"FACATATIVA - URBANO","2024-11-10","","4.69791667"
"FACATATIVA - URBANO","2024-11-09","","6.29833333"
"FACATATIVA - URBANO","2024-11-08","","9.91333333"
"FACATATIVA - URBANO","2024-11-07","","10.24083333"
"FACATATIVA - URBANO","2024-11-06","","9.54583333"
"FACATATIVA - URBANO","2024-11-05","","13.33208333"
"FACATATIVA - URBANO","2024-11-04","","5.885"
"FACATATIVA - URBANO","2024-11-03","","8.77375"
"FACATATIVA - URBANO","2024-11-02","","5.84166667"
"FACATATIVA - URBANO","2024-11-01","","10.15"
"FACATATIVA - URBANO","2024-10-31","","12.57"
"FACATATIVA - URBANO","2024-10-30","","9.59333333"
"FACATATIVA - URBANO","2024-10-29","","13.66541667"
"FACATATIVA - URBANO","2024-10-28","","12.505"
"FACATATIVA - URBANO","2024-10-27","","5.87166667"
"FACATATIVA - URBANO","2024-10-26","","7.7475"
"FACATATIVA - URBANO","2024-10-25","","12.35708333"
"FACATATIVA - URBANO","2024-10-24","","10.93916667"
"FACATATIVA - URBANO","2024-10-23","","11.5225"
"FACATATIVA - URBANO","2024-10-22","","9.41833333"
"FACATATIVA - URBANO","2024-10-21","","7.94833333"
"FACATATIVA - URBANO","2024-10-20","","8.19458333"
"FACATATIVA - URBANO","2024-10-19","","15.825"
"FACATATIVA - URBANO","2024-10-18","","16.645"
"FACATATIVA - URBANO","2024-10-17","","15.11875"
"FACATATIVA - URBANO","2024-10-16","","12.65208333"
"FACATATIVA - URBANO","2024-10-15","","12.18958333"
"FACATATIVA - URBANO","2024-10-14","","10.76791667"
"FACATATIVA - URBANO","2024-10-13","","6.57375"
"FACATATIVA - URBANO","2024-10-12","","12.60958333"
"FACATATIVA - URBANO","2024-10-11","","12.73583333"
"FACATATIVA - URBANO","2024-10-10","","10.04416667"
"FACATATIVA - URBANO","2024-10-09","","9.96458333"
"FACATATIVA - URBANO","2024-10-08","","9.76"
"FACATATIVA - URBANO","2024-09-23","","7.50882353"
"FACATATIVA - URBANO","2024-09-22","","10.95708333"
"FACATATIVA - URBANO","2024-09-21","","17.07583333"
"FACATATIVA - URBANO","2024-09-20","","20.365"
"FACATATIVA - URBANO","2024-09-19","","18.68458333"
"FACATATIVA - URBANO","2024-09-18","","12.86541667"
"FACATATIVA - URBANO","2024-09-17","","10.585"
"FACATATIVA - URBANO","2024-09-16","","11.965"
"FACATATIVA - URBANO","2024-09-15","","10.21875"
"FACATATIVA - URBANO","2024-09-14","","13.36583333"
"FACATATIVA - URBANO","2024-09-13","","13.46666667"
"FACATATIVA - URBANO","2024-09-12","","19.48083333"
"FACATATIVA - URBANO","2024-09-11","","17.49041667"
"FACATATIVA - URBANO","2024-09-10","","12.88208333"
"FACATATIVA - URBANO","2024-09-09","","17.83125"
"FACATATIVA - URBANO","2024-09-08","","13.22791667"
"FACATATIVA - URBANO","2024-09-07","","20.125"
"FACATATIVA - URBANO","2024-09-06","","18.54791667"
"FACATATIVA - URBANO","2024-09-05","","13.61458333"
"FACATATIVA - URBANO","2024-09-04","","37.53666667"
"FACATATIVA - URBANO","2024-09-03","","27.15208333"
"FACATATIVA - URBANO","2024-09-02","","32.285"
"FACATATIVA - URBANO","2024-09-01","","31.26625"
"FACATATIVA - URBANO","2024-08-31","","31.34916667"
"FACATATIVA - URBANO","2024-08-30","","25.1675"
"FACATATIVA - URBANO","2024-08-29","","12.1"
"FACATATIVA - URBANO","2024-08-28","","15.72541667"
"FACATATIVA - URBANO","2024-08-27","","24.53125"
"FACATATIVA - URBANO","2024-08-26","","15.46208333"
"FACATATIVA - URBANO","2024-08-25","","8.09"
"FACATATIVA - URBANO","2024-08-24","","11.8625"
"FACATATIVA - URBANO","2024-08-23","","16.03583333"
"FACATATIVA - URBANO","2024-08-22","","16.56"
"FACATATIVA - URBANO","2024-08-21","","14.30291667"
"FACATATIVA - URBANO","2024-08-20","","12.15541667"
"FACATATIVA - URBANO","2024-08-19","","10.58875"
"FACATATIVA - URBANO","2024-08-18","","10.48916667"
"FACATATIVA - URBANO","2024-08-17","","15.22375"
"FACATATIVA - URBANO","2024-08-16","","12.1775"
"FACATATIVA - URBANO","2024-08-15","","13.66375"
"FACATATIVA - URBANO","2024-08-14","","17.14708333"
"FACATATIVA - URBANO","2024-08-13","","6.96416667"
"FACATATIVA - URBANO","2024-08-12","","12.60625"
"FACATATIVA - URBANO","2024-08-11","","7.34458333"
"FACATATIVA - URBANO","2024-08-10","","8.60083333"
"FACATATIVA - URBANO","2024-08-09","","17.06708333"
"FACATATIVA - URBANO","2024-08-08","","23.18083333"
"FACATATIVA - URBANO","2024-08-07","","20.21583333"
"FACATATIVA - URBANO","2024-08-06","","11.65791667"
"FACATATIVA - URBANO","2024-08-05","","14.24916667"
"FACATATIVA - URBANO","2024-08-04","","15.61541667"
"FACATATIVA - URBANO","2024-08-03","","13.7275"
"FACATATIVA - URBANO","2024-08-02","","11.76541667"
"FACATATIVA - URBANO","2024-08-01","","10.16458333"
"FACATATIVA - URBANO","2024-07-31","","8.0675"
"FACATATIVA - URBANO","2024-07-30","","9.02041667"
"FACATATIVA - URBANO","2024-07-29","","8.89416667"
"FACATATIVA - URBANO","2024-07-28","","5.11208333"
"FACATATIVA - URBANO","2024-07-27","","7.55291667"
"FACATATIVA - URBANO","2024-07-26","","11.09"
"FACATATIVA - URBANO","2024-07-25","","9.36791667"
"FACATATIVA - URBANO","2024-07-24","","13.48541667"
"FACATATIVA - URBANO","2024-07-23","","9.37041667"
"FACATATIVA - URBANO","2024-07-22","","5.77416667"
"FACATATIVA - URBANO","2024-07-21","","6.64625"
"FACATATIVA - URBANO","2024-07-20","","6.64333333"
"FACATATIVA - URBANO","2024-07-19","","6.82916667"
"FACATATIVA - URBANO","2024-07-18","","6.93125"
"FACATATIVA - URBANO","2024-07-17","","6.47541667"
"FACATATIVA - URBANO","2024-07-16","","5.145"
"FACATATIVA - URBANO","2024-07-15","","5.25291667"
"FACATATIVA - URBANO","2024-07-14","","5.0475"
"FACATATIVA - URBANO","2024-07-13","","4.68625"
"FACATATIVA - URBANO","2024-07-12","","11.21333333"
"FACATATIVA - URBANO","2024-07-11","","11.33875"
"FACATATIVA - URBANO","2024-07-10","","5.34166667"
"FACATATIVA - URBANO","2024-07-09","","3.82666667"
"FACATATIVA - URBANO","2024-07-08","","5.15"
"FACATATIVA - URBANO","2024-07-07","","4.01625"
"FACATATIVA - URBANO","2024-07-06","","8.9275"
"FACATATIVA - URBANO","2024-07-05","","4.16375"
"FACATATIVA - URBANO","2024-07-04","","8.46541667"
