"Estacion","Fecha inicial","Fecha final","PM10"
"FACATATIVA - URBANO","2024-09-08","","26.05291667"
"FACATATIVA - URBANO","2024-09-07","","33.9875"
"FACATATIVA - URBANO","2024-09-06","","38.62916667"
"FACATATIVA - URBANO","2024-09-05","","37.39125"
"FACATATIVA - URBANO","2024-09-04","","57.05708333"
"FACATATIVA - URBANO","2024-09-03","","44.65083333"
"FACATATIVA - URBANO","2024-09-02","","41.395"
"FACATATIVA - URBANO","2024-09-01","","39.62541667"
"FACATATIVA - URBANO","2024-08-31","","50.36166667"
"FACATATIVA - URBANO","2024-08-30","","45.34375"
"FACATATIVA - URBANO","2024-08-29","","29.97666667"
"FACATATIVA - URBANO","2024-08-28","","33.83625"
"FACATATIVA - URBANO","2024-08-27","","45.72041667"
"FACATATIVA - URBANO","2024-08-26","","28.22541667"
"FACATATIVA - URBANO","2024-08-25","","15.20416667"
"FACATATIVA - URBANO","2024-08-24","","23.89041667"
"FACATATIVA - URBANO","2024-08-23","","35.38666667"
"FACATATIVA - URBANO","2024-08-22","","38.80208333"
"FACATATIVA - URBANO","2024-08-21","","34.645"
"FACATATIVA - URBANO","2024-08-20","","28.53916667"
"FACATATIVA - URBANO","2024-08-19","","20.48958333"
"FACATATIVA - URBANO","2024-08-18","","22.25"
"FACATATIVA - URBANO","2024-08-17","","37.79208333"
"FACATATIVA - URBANO","2024-08-16","","25.11083333"
"FACATATIVA - URBANO","2024-08-15","","30.86125"
"FACATATIVA - URBANO","2024-08-14","","32.38708333"
"FACATATIVA - URBANO","2024-08-13","","14.90625"
"FACATATIVA - URBANO","2024-08-12","","23.30333333"
"FACATATIVA - URBANO","2024-08-11","","11.17875"
"FACATATIVA - URBANO","2024-08-10","","18.96166667"
"FACATATIVA - URBANO","2024-08-09","","32.90541667"
"FACATATIVA - URBANO","2024-08-08","","43.66833333"
"FACATATIVA - URBANO","2024-08-07","","32.37"
"FACATATIVA - URBANO","2024-08-06","","25.76625"
"FACATATIVA - URBANO","2024-08-05","","28.27333333"
"FACATATIVA - URBANO","2024-08-04","","29.17875"
"FACATATIVA - URBANO","2024-08-03","","31.03833333"
"FACATATIVA - URBANO","2024-08-02","","30.83666667"
"FACATATIVA - URBANO","2024-08-01","","25.74083333"
"FACATATIVA - URBANO","2024-07-31","","23.83333333"
"FACATATIVA - URBANO","2024-07-30","","28.87708333"
"FACATATIVA - URBANO","2024-07-29","","20.90708333"
"FACATATIVA - URBANO","2024-07-28","","8.93666667"
"FACATATIVA - URBANO","2024-07-27","","18.34916667"
"FACATATIVA - URBANO","2024-07-26","","25.05916667"
"FACATATIVA - URBANO","2024-07-25","","23.07583333"
"FACATATIVA - URBANO","2024-07-24","","30.27333333"
"FACATATIVA - URBANO","2024-07-23","","22.16583333"
"FACATATIVA - URBANO","2024-07-22","","12.67416667"
"FACATATIVA - URBANO","2024-07-21","","11.79458333"
"FACATATIVA - URBANO","2024-07-20","","17.18"
"FACATATIVA - URBANO","2024-07-19","","20.76083333"
"FACATATIVA - URBANO","2024-07-18","","17.5375"
"FACATATIVA - URBANO","2024-07-17","","17.61333333"
"FACATATIVA - URBANO","2024-07-16","","14.37583333"
"FACATATIVA - URBANO","2024-07-15","","13.23083333"
"FACATATIVA - URBANO","2024-07-14","","9.48583333"
"FACATATIVA - URBANO","2024-07-13","","11.28041667"
"FACATATIVA - URBANO","2024-07-12","","30.15291667"
"FACATATIVA - URBANO","2024-07-11","","33.26083333"
"FACATATIVA - URBANO","2024-07-10","","15.29916667"
"FACATATIVA - URBANO","2024-07-09","","9.89541667"
"FACATATIVA - URBANO","2024-07-08","","15.29083333"
"FACATATIVA - URBANO","2024-07-07","","11.36125"
"FACATATIVA - URBANO","2024-07-06","","16.01666667"
"FACATATIVA - URBANO","2024-07-05","","8.64"
"FACATATIVA - URBANO","2024-07-04","","19.84666667"
"FACATATIVA - URBANO","2024-07-03","","15.39833333"
"FACATATIVA - URBANO","2024-07-02","","21.43833333"
"FACATATIVA - URBANO","2024-07-01","","13.82958333"
"FACATATIVA - URBANO","2024-06-30","","13.245"
"FACATATIVA - URBANO","2024-06-29","","15.19136364"
